questions,tool,arguments,model_tool,model_arguments,correct_tool,correct_arguments,percent_arguments
What is the busiest route in New York transit?,None,{},None,{},True,True,1.0
Can you add a column to the trips table labeling the days of the week?,None,{},None,{},True,True,1.0
"What are the five busiest routes from January 1st, 2025 to March 15th, 2025 for weekday, inbound routes?",top_routes_by_ridership,"{'top_n': 5, 'day_code': 'WK', 'direction': 'I', 'start_date': '2025-01-01', 'end_date': '2025-03-15'}",top_routes_by_ridership,"{'start_date': '2025-01-01', 'end_date': '2025-03-15', 'top_n': 5, 'day_code': 'WK', 'direction': 'I'}",True,True,1.0
What are the busiest routes?,top_routes_by_ridership,"{'start_date': '2025-01-01', 'end_date': '2025-12-31', 'top_n': 10}",top_routes_by_ridership,"{'end_date': '2025-12-31', 'top_n': 10, 'start_date': '2025-01-01'}",True,True,1.0
"Starting from March, what are the three busiest routes on Saturday?",top_routes_by_ridership,"{'start_date': '2025-03-01', 'end_date': '2025-12-31', 'top_n': 3, 'day_code': 'SA'}",top_routes_by_ridership,"{'start_date': '2025-03-01', 'end_date': '2025-12-31', 'day_code': 'SA', 'top_n': 3}",True,True,1.0
"Until the end of May, what are the 10 busiest outbound routes?",top_routes_by_ridership,"{'start_date': '2025-01-01', 'end_date': '2025-05-31', 'direction': 'O', 'top_n': 10}",top_routes_by_ridership,"{'start_date': '2025-01-01', 'end_date': '2025-05-31', 'top_n': 10, 'direction': 'O'}",True,True,1.0
What is the busiest route on the 17th?,None,{},None,{},True,True,1.0
"From February 14th, 2025 to March 14th, 2025, what is the daily ridership trend for Route 1?",route_ridership_trend,"{'end_date': '2025-03-14', 'aggregation': 'daily', 'route_id': '1', 'start_date': '2025-02-14'}",route_ridership_trend,"{'route_id': '1', 'start_date': '2025-02-14', 'end_date': '2025-03-14', 'aggregation': 'daily'}",True,True,1.0
Can you give me weekly ridership information for Route 2 in the month of May?,route_ridership_trend," {'end_date': '2025-05-31', 'aggregation': 'weekly', 'route_id': '2', 'start_date': '2025-05-01'}",route_ridership_trend,"{'aggregation': 'weekly', 'route_id': '2', 'start_date': '2025-05-01', 'end_date': '2025-05-31'}",True,True,1.0
"In the year 2025, what is the monthly ridership data for Route 989?",route_ridership_trend,"{'route_id': '989', 'start_date': '2025-01-01', 'end_date': '2025-12-31', 'aggregation': 'monthly'}",route_ridership_trend,"{'route_id': '989', 'start_date': '2025-01-01', 'end_date': '2025-12-31', 'aggregation': 'monthly'}",True,True,1.0
What is the Route 7's ridership trend?,route_ridership_trend,"{'route_id': '7', 'start_date': '2025-01-01', 'end_date': '2025-12-31', 'aggregation': 'daily'}",route_ridership_trend,"{'start_date': '2025-01-01', 'end_date': '2025-12-31', 'aggregation': 'daily', 'route_id': '7'}",True,True,1.0
"What is Route 44's ridership trend from November 10th, 2025?",route_ridership_trend,"{'start_date': '2025-11-10', 'end_date': '2025-12-31', 'aggregation': 'daily', 'route_id': '44'}",route_ridership_trend,"{'route_id': '44', 'start_date': '2025-11-10', 'end_date': '2025-12-31', 'aggregation': 'daily'}",True,True,1.0
"What is Route 239's ridership data until September 1st, 2025?",route_ridership_trend," {'end_date': '2025-09-01', 'aggregation': 'daily', 'route_id': '239', 'start_date': '2025-01-01'}",route_ridership_trend,"{'route_id': '239', 'start_date': '2025-01-01', 'end_date': '2025-09-01', 'aggregation': 'daily'}",True,True,1.0
What is Route 677's ridership information for the 9th?,None,{},None,{},True,True,1.0
What is the daily ridership trend for the year 2025?,None,{},None,{},True,True,1.0
"What are the three busiest stops by boardings from September 21st, 2025 to October 1st, 2025 for Route 40?",busiest_stops,"{'start_date': '2025-09-21', 'end_date': '2025-10-01', 'route_id': '40', 'top_n': 3, 'metric': 'boardings'}",busiest_stops,"{'metric': 'boardings', 'start_date': '2025-09-21', 'end_date': '2025-10-01', 'route_id': '40', 'top_n': 3}",True,True,1.0
